Assessment_Name,Date_Created,Test1_Method,Test1_Date,Test2_Method,Test2_Date,Test3_Method,Test3_Date
Data Types,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,9/6/2022
Data Types,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,9/6/2022
Data Types,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,9/6/2022
Variables,4/13/2022,Online,4/13/2022,Written,4/13/2022,Written,4/13/2022
Variables,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,4/13/2022
Variables,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,4/13/2022
Functions,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,4/13/2022
Functions,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,4/13/2022
Functions,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,4/13/2022
Boolean Logic,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,4/13/2022
Boolean Logic,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,4/13/2022
Boolean Logic,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,5/20/20
Conditionals,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,6/30/21
Conditionals,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,4/13/2022
Conditionals,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,4/13/2022
Loops,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,4/13/2022
Loops,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,5/20/20
Loops,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,5/20/20
Data Structures,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,5/20/20
Data Structures,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,5/20/20
Data Structures,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,5/20/20
Lists,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,5/20/20
Lists,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,5/20/20
Lists,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,5/20/20
Dictionaries,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,5/20/20
Dictionaries,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,4/13/2022
Dictionaries,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,4/13/2022
Working with files,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,4/13/2022
Working with files,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,4/13/2022
Working with files,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,4/13/2022
Exception Handling,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,4/13/2022
Exception Handling,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,4/13/2022
Exception Handling,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,4/13/2022
Quality Assurance,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,4/13/2022
Quality Assurance,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,9/6/2022
Quality Assurance,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,9/6/2022
Object Oriented Programming,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,9/6/2022
Object Oriented Programming,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,9/6/2022
Object Oriented Programming,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,9/6/2022
Recursion,4/13/2022,Online,4/13/2022,Online,4/13/2022,Online,9/6/2022
Recursion,4/13/2022,Written,4/13/2022,Written,4/13/2022,Written,9/6/2022
Recursion,4/13/2022,Interview,4/13/2022,Interview,4/13/2022,Interview,9/6/2022
Databases,9/6/2022,Online,9/6/2022,Online,9/6/2022,Online,9/6/2022
Databases,9/6/2022,Written,9/6/2022,Written,9/6/2022,Written,9/6/2022
Databases,9/6/2022,Interview,9/6/2022,Interview,9/6/2022,Interview,9/6/2022
